Ref,Grant Recipient,State,Federal Award FY 2015,Federal Award FY 2016,Federal Award FY 2017 ,Federal Award FY 2018,Federal Award FY 2019 ,Total,BJA Link 1,BJA Link 2,BJA Link 3
BJA188,Northern Kentucky University,KY,,,,14045,,14045,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA209,Nottawaseppi Huron Band of the Potawatomi Indians,MI,,18405,,,,18405,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA380,Nottoway County,VA,,7340,,,,7340,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA267,Nye County,NV,,165000,,,,165000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA251,O'Neill,NE,,5341,,,,5341,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA303,Oklahoma City,OK,,270000,,,,270000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA248,"Omaha, City of",NE,67500,,,,,67500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA114,Orange County,FL,,225000,,,,225000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA386,Orange County Sheriff's Department,VT,,,,39865,,39865,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA096,"Orlando, City of",FL,497480,,,,,497480,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA115,"Osceola, County of",FL,,,,,300000,300000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0063,,
BJA320,PA Commission on Crime and Delinquency,PA,,,,,975801,975801,https://bja.ojp.gov/funding/awards/2019-bc-bx-0021,,
BJA372,Park City Municipal Corporation,UT,,,,48524,,48524,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA297,Parma,OH,,,135000,,,135000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA046,"Pasadena, City of",CA,250000,,,,,250000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA235,Pearl River Community College,MS,,,,,31972,31972,https://bja.ojp.gov/funding/awards/2019-bc-bx-0010,,
BJA236,Pearl River Community College,MS,,13471,,,,13471,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA018,Pendleton Police Department,OR,,,,31000,,31000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA016,Pennsauken Township NJ,NJ,,,,,100000,100000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0014,,
BJA321,Pennsylvania Commission on Crime and Delinquency,PA,,,,1399816,,1399816,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA322,Pennsylvania State Police,PA,,52050,,,,52050,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA095,"Pensacola, City of",FL,64500,,,,,64500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA166,Peoria,IL,,,253005,,,253005,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA037,"Peoria, City of",AZ,53170,,26360,,,79530,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,
BJA070,Petaluma Police Department,CA,,,,39191,,39191,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA311,"Pittsburgh, City of",PA,250000,,,,,250000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA210,Pokagon Band of the Potawatomi Indians,MI,,63131,,,,63131,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA019,Portland State University,OR,,20364,,,,20364,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA323,Pottsville,PA,,40000,,,,40000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA336,Providence,RI,,375000,,,,375000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA085,Pueblo County Sheriff’s Office,CO,,,212736,,,212736,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA264,Pueblo of Isleta,NM,,,,63000,33875,96875,https://bja.ojp.gov/funding/awards/2019-bc-bx-0040,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,
BJA333,Puerto Rico Department of Correction and Rehabilitation,PR,,,,,94000,94000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0020,,
BJA334,Puerto Rico Police Department,PR,,,,126313,,126313,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA035,Pulaski County Sheriff''s Office,AR,,,,,440000,440000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0080,,
BJA381,"Pulaski, Town of",VA,,,,,42927,42927,https://bja.ojp.gov/funding/awards/2019-bc-bx-0075,,
BJA246,Raleigh,NC,,600000,,,,600000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA395,"Ranson, City of",WV,45000,,,,,45000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA348,Rapid City,SD,,,300000,,,300000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA071,"Redondo Beach, City of (Inc)",CA,,,,,190000,190000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0077,,
BJA072,Redwood City Police Department,CA,,,,150146,,150146,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA232,Regional Justice Information Service,MO,,,435304,,,435304,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA045,"Richmond, City of",CA,150000,,,,,150000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA073,Riverside,CA,,150000,,,,150000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA116,Riviera Beach,FL,,130885,,,,130885,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
